"pattern_id","priority","tag","title","question_count","exam_ids","question_ids","c_source","arm_source","c_status","arm_status"
"PAT-ALG-PRIME-FACTORIZATION-001","SUPPLEMENTARY_REFERENCE","supplementary:prime","Prime testing and trial factorization","1","E2023-07-04","E2023-07-04-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-PRIME-FACTORIZATION-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-PRIME-FACTORIZATION-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-INTEGER-SQRT-001","SUPPLEMENTARY_REFERENCE","supplementary:isqrt","Integer square root","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-INTEGER-SQRT-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-INTEGER-SQRT-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-FAST-POWER-001","SUPPLEMENTARY_REFERENCE","supplementary:power","Exponentiation by squaring","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-FAST-POWER-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-FAST-POWER-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-DECIMAL-DIGITS-001","SUPPLEMENTARY_REFERENCE","supplementary:digits","Decimal digit algorithms","2","E2023-02-24;E2023-09-18","E2023-02-24-Q1;E2023-09-18-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-DECIMAL-DIGITS-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-DECIMAL-DIGITS-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-POPCOUNT-PARITY-001","SUPPLEMENTARY_REFERENCE","supplementary:popcount","Population count and parity","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-POPCOUNT-PARITY-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-POPCOUNT-PARITY-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-BITFIELD-001","SUPPLEMENTARY_REFERENCE","supplementary:bitfield","Bitfield extraction insertion and packing","6","E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-07-01-A2;E2026-06-25-B1;E2026-06-25-B2","E2025-01-29-A1-Q1;E2025-01-29-A2-Q1;E2025-01-29-A3-Q1;E2025-07-01-A2-Q1;E2026-06-25-B1-Q2;E2026-06-25-B2-Q2","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-BITFIELD-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-BITFIELD-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-SATURATING-ARITHMETIC-001","SUPPLEMENTARY_REFERENCE","supplementary:saturate","Clamp absolute saturation and overflow","2","E2026-02-18-A1;E2026-02-18-A2","E2026-02-18-A1-Q2;E2026-02-18-A2-Q2","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-SATURATING-ARITHMETIC-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-SATURATING-ARITHMETIC-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-PREFIX-SUM-001","SUPPLEMENTARY_REFERENCE","supplementary:prefix","Prefix sums and range sums","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-PREFIX-SUM-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-PREFIX-SUM-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-HISTOGRAM-MODE-001","SUPPLEMENTARY_REFERENCE","supplementary:histogram","Histogram frequency and mode","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-HISTOGRAM-MODE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-HISTOGRAM-MODE-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-HORNER-001","SUPPLEMENTARY_REFERENCE","supplementary:horner","Horner polynomial evaluation","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-HORNER-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-HORNER-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-MOVING-AVERAGE-001","SUPPLEMENTARY_REFERENCE","supplementary:moving","Moving average and sliding window","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-MOVING-AVERAGE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-MOVING-AVERAGE-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-STRING-PRIMITIVES-001","SUPPLEMENTARY_REFERENCE","supplementary:string","Bounded string primitives","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-STRING-PRIMITIVES-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-STRING-PRIMITIVES-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-MEMMOVE-001","SUPPLEMENTARY_REFERENCE","supplementary:memmove","Overlap-safe memory movement","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-MEMMOVE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-MEMMOVE-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-CHECKSUM-CRC-001","SUPPLEMENTARY_REFERENCE","supplementary:checksum","Checksums and CRC table structure","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-CHECKSUM-CRC-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-CHECKSUM-CRC-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-DS-RING-BUFFER-001","SUPPLEMENTARY_REFERENCE","supplementary:ring","Circular ring buffer","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-RING-BUFFER-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-RING-BUFFER-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-DS-STACK-001","SUPPLEMENTARY_REFERENCE","supplementary:stack","Array-backed stack","1","E2024-07-09","E2024-07-09-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-STACK-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-STACK-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-DS-CIRCULAR-QUEUE-001","SUPPLEMENTARY_REFERENCE","supplementary:queue","Circular queue","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-CIRCULAR-QUEUE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-CIRCULAR-QUEUE-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-DS-LINKED-LIST-001","SUPPLEMENTARY_REFERENCE","supplementary:linked","Singly linked-list operations","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-LINKED-LIST-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-LINKED-LIST-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-BFS-001","SUPPLEMENTARY_REFERENCE","supplementary:bfs","Breadth-first search","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-BFS-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-BFS-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-RECURSIVE-DFS-001","SUPPLEMENTARY_REFERENCE","supplementary:recursive-dfs","Recursive DFS with depth contract","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-RECURSIVE-DFS-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-RECURSIVE-DFS-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-FLOOD-FILL-001","SUPPLEMENTARY_REFERENCE","supplementary:flood","Flood fill and maze propagation","2","E2024-02-12;E2024-02-28","E2024-02-12-Q1;E2024-02-28-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-FLOOD-FILL-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-FLOOD-FILL-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-DIJKSTRA-001","SUPPLEMENTARY_REFERENCE","supplementary:dijkstra","Dijkstra shortest path","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-DIJKSTRA-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-DIJKSTRA-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-DS-UNION-FIND-001","SUPPLEMENTARY_REFERENCE","supplementary:union-find","Union-find with compression and rank","1","E2024-09-16","E2024-09-16-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-UNION-FIND-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DS-UNION-FIND-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-KNAPSACK-001","SUPPLEMENTARY_REFERENCE","supplementary:knapsack","Bounded zero-one knapsack","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-KNAPSACK-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-KNAPSACK-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-COIN-CHANGE-001","SUPPLEMENTARY_REFERENCE","supplementary:coin","Coin change","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-COIN-CHANGE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-COIN-CHANGE-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-LIS-001","SUPPLEMENTARY_REFERENCE","supplementary:lis","Longest increasing subsequence","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-LIS-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-LIS-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-EDIT-DISTANCE-001","SUPPLEMENTARY_REFERENCE","supplementary:edit","Edit distance","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-EDIT-DISTANCE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-EDIT-DISTANCE-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
