"title","family","tag","exam_ids","c_source","arm_source","question_count"
"Prefix sums and range sums","supplementary","supplementary:prefix","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-PREFIX-SUM-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-PREFIX-SUM-001/arm/implementation.s","0"
"Histogram frequency and mode","supplementary","supplementary:histogram","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-HISTOGRAM-MODE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-HISTOGRAM-MODE-001/arm/implementation.s","0"
"Horner polynomial evaluation","supplementary","supplementary:horner","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-HORNER-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-HORNER-001/arm/implementation.s","0"
"Moving average and sliding window","supplementary","supplementary:moving","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-MOVING-AVERAGE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-MOVING-AVERAGE-001/arm/implementation.s","0"
"Bounded string primitives","supplementary","supplementary:string","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-STRING-PRIMITIVES-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-STRING-PRIMITIVES-001/arm/implementation.s","0"
"Overlap-safe memory movement","supplementary","supplementary:memmove","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-MEMMOVE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-MEMMOVE-001/arm/implementation.s","0"
"Checksums and CRC table structure","supplementary","supplementary:checksum","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-CHECKSUM-CRC-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-CHECKSUM-CRC-001/arm/implementation.s","0"
"Circular ring buffer","supplementary","supplementary:ring","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-RING-BUFFER-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-RING-BUFFER-001/arm/implementation.s","0"
"Array-backed stack","supplementary","supplementary:stack","E2024-07-09","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-STACK-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-STACK-001/arm/implementation.s","1"
"Circular queue","supplementary","supplementary:queue","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-CIRCULAR-QUEUE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-CIRCULAR-QUEUE-001/arm/implementation.s","0"
"Singly linked-list operations","supplementary","supplementary:linked","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-LINKED-LIST-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-LINKED-LIST-001/arm/implementation.s","0"
"Breadth-first search","supplementary","supplementary:bfs","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-BFS-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-BFS-001/arm/implementation.s","0"
"Recursive DFS with depth contract","supplementary","supplementary:recursive-dfs","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-RECURSIVE-DFS-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-RECURSIVE-DFS-001/arm/implementation.s","0"
"Flood fill and maze propagation","supplementary","supplementary:flood","E2024-02-12;E2024-02-28","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-FLOOD-FILL-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-FLOOD-FILL-001/arm/implementation.s","2"
"Dijkstra shortest path","supplementary","supplementary:dijkstra","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-DIJKSTRA-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-DIJKSTRA-001/arm/implementation.s","0"
"Union-find with compression and rank","supplementary","supplementary:union-find","E2024-09-16","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-UNION-FIND-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DS-UNION-FIND-001/arm/implementation.s","1"
"Bounded zero-one knapsack","supplementary","supplementary:knapsack","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-KNAPSACK-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-KNAPSACK-001/arm/implementation.s","0"
"Coin change","supplementary","supplementary:coin","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-COIN-CHANGE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-COIN-CHANGE-001/arm/implementation.s","0"
"Longest increasing subsequence","supplementary","supplementary:lis","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-LIS-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-LIS-001/arm/implementation.s","0"
"Edit distance","supplementary","supplementary:edit","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-EDIT-DISTANCE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-EDIT-DISTANCE-001/arm/implementation.s","0"
